unix_time,players,rounds,score,time_s
1698141476.394,3,1,112,8.424000024795532
1698141499.568,3,2,820,18.848000049591064
1698141512.382,3,1,151,10.014999866485596
1698141527.215,3,1,234,13.35699987411499
1698141572.893,3,1,462,22.405999898910522
1698141594.427,3,1,380,19.233999967575073
1698141619.572,3,1,475,22.990999937057495
1698141643.534,3,1,334,17.283999919891357
1698141658.355,3,1,154,10.13100004196167
1698141689.723,3,2,1075,29.0310001373291
1698141959.673,4,10,6633,107.43400001525879
1698142070.032,4,9,5818,92.87000012397766
1698142123.358,4,4,2467,48.704999923706055
1698142218.317,3,1,563,26.484999895095825
1698142295.438,3,7,4355,70.23399996757507
1698142343.571,3,3,1904,44.104000091552734
1698142401.111,3,4,2614,54.59700012207031
1698142423.748,3,2,796,17.753999948501587
1698143719.001,4,2,952,24.536999940872192
1698143771.546,4,2,1423,42.9449999332428
1698143800.633,4,1,390,19.557999849319458
1698143848.14,4,3,1867,42.67900013923645
1698143910.418,4,4,2655,56.24399995803833
1698143994.354,2,2,1088,29.511000156402588
1698144128.984,1,1,449,21.937999963760376
1698144443.323,3,4,2476,49.109999895095825
1698144478.472,3,2,1077,29.16699981689453
1698144558.539,4,1,339,17.604000091552734
1698144639.483,4,5,3663,78.52100014686584
1698144666.043,4,1,80,7.098999977111816
1698145188.656,3,1,122,9
1698145203.345,3,1,89,7.680999994277954
1698145229.343,3,1,413,20.557999849319458
1698145254.716,3,2,788,17.511000156402588
1698145284.501,3,2,973,24.89800000190735
1698145322.17,3,1,302,16.282999992370605
1698145349.841,3,2,850,19.944000005722046
1698145383.076,3,1,474,23.121000051498413
1698145427.566,3,2,1151,32.013999938964844
1698145857.115,3,1,422,23.153000116348267
1698145885.544,3,1,372,18.980000019073486
1698145907.293,3,1,180,11.160000085830688
1698145935.502,3,1,460,22.475000143051147
1698145964.746,3,1,282,15.282999992370605
1698145980.954,3,1,202,12.081000089645386
1698145995.69,3,1,144,9.815000057220459
1698146011.244,3,1,239,13.711999893188477
1698146032.999,3,1,315,16.59500002861023
1698146061.632,3,1,435,21.401999950408936
1698146115.716,3,1,838,37.48900008201599
1698146184.472,3,5,3266,62.71999979019165
1698146228.93,3,3,1689,35.55800008773804
1698146309.186,3,5,3548,74.0789999961853
1698146499.594,3,1,83,7.259000062942505
1698146541.654,3,2,1273,37.04299998283386
1698146578.496,3,2,1162,32.56599998474121
1698146604.961,3,1,489,23.503999948501587
1698146621.935,3,1,294,15.82200002670288
1698146653.47,3,1,659,30.469000101089478
1698146682.679,3,2,998,25.967000007629395
1698146852.656,2,1,139,9.494999885559082
1698146868.643,2,1,150,9.98199987411499
1698146883.768,2,1,185,11.384999990463257
1698146893.632,2,1,29,5.168999910354614
1698146905.299,2,1,150,10.04800009727478
1698146924.676,2,2,755,16.379000186920166
1698146943.045,2,1,331,17.26699995994568
1698146955.858,2,1,155,10.25600004196167
1698147005.92,2,3,1828,41.19800019264221
1698147033.777,2,2,992,25.66599988937378
1698147064.406,2,3,1481,27.31599998474121
1698147097.442,2,2,1121,30.921000003814697
1698147133.668,2,2,1225,34.96300005912781
1698147181.498,2,2,784,17.342999935150146
1698147199.726,2,1,299,15.972000122070312
1698147212.625,2,1,188,11.522000074386597
1698147231.858,2,2,802,18.16600012779236
1698147270.685,2,4,2189,37.60199999809265
1698147295.93,2,2,948,23.990000009536743
1698147306.471,2,1,122,8.79699993133545
1698147333.4,2,3,1444,25.812000036239624
1698147364.185,2,3,1527,29.164000034332275
1698147377.134,2,1,160,10.34000015258789
1698147395.918,2,1,337,17.63599991798401
1698147428.027,2,3,1528,29.12399983406067
1698147458.127,2,3,1523,28.89800000190735
1698147469.989,2,1,129,9.129000186920166
1698147497.599,2,2,1004,26.223999977111816
1698147529.373,2,3,1563,30.490000009536743
1698147553.932,2,1,481,23.312999963760376
1698147565.215,2,1,135,9.446000099182129
1698147775.783,2,5,3031,55.12599992752075
1698147825.843,2,6,3342,47.93599987030029
1698147924.591,2,10,6372,97.06100010871887
1698147994.901,2,7,4212,64.61299991607666
1698148061.145,2,7,4189,63.59599995613098
1698148178.032,2,1,420,21.883000135421753
1698148221.41,2,2,1403,42.08899998664856
1698148269.554,2,2,1523,46.66699981689453
1698148316.247,2,2,1437,43.47000002861023
1698148362.117,2,2,1427,42.86800003051758
1698148411.501,2,3,1957,46.263999938964844
1698148471.349,2,2,1436,43.348000049591064
1698148537.595,2,3,2405,64.01200008392334
1698148661.007,4,3,2468,67.28699994087219
1698148743.62,4,5,3718,80.53699994087219
1698148940.851,4,1,356,19.86400008201599
1698149010.828,4,3,2288,59.587000131607056
1698149076.284,4,2,1243,35.71399998664856
1698149141.869,4,4,2758,60.44000005722046
1698149230.331,4,6,4207,82.27800011634827
1698149315.156,4,4,2912,66.27199983596802
1698149437.443,3,2,1051,28.045000076293945
1698149503.876,3,6,3730,63.22499990463257
1698149589.849,3,8,5013,78.4689998626709
1698149711.804,3,3,1764,38.704999923706055
1698149743.035,3,2,1006,26.318000078201294
1698149791.614,3,3,1835,41.27900004386902
1698149829.126,3,3,1606,32.312999963760376
1698149903.481,3,4,2809,66.49899983406067
1698150075.992,3,4,2518,50.78800010681152
1698150131.401,3,4,2494,49.78200006484985
1698150311.108,4,2,1623,51.79800009727478
1698150374.732,4,2,1902,62.040000200271606
1698150431.491,4,2,1623,50.97199988365173
1698150507.848,4,3,2682,75.29999995231628
1698150567.04,4,2,1722,54.78099989891052
1698150609.915,4,2,1377,41.11999988555908
1698150643.097,4,1,576,26.996999979019165
1698150669.668,4,1,539,25.58299994468689
1698150745.493,4,3,2659,74.41799998283386
1698150790.122,4,2,1433,43.29299998283386
1698150842.164,4,2,1622,50.93400001525879
1698150918.407,4,3,2668,74.67200016975403
1698151095.527,3,1,316,17.427000045776367
1698151107.662,3,1,139,9.555999994277954
1698151130.673,3,1,394,19.77400016784668
1698151164.879,3,1,136,9.280999898910522
1698151192.524,3,2,985,25.444999933242798
1698151210.074,3,1,286,15.462999820709229
1698151248.024,3,2,1057,28.241999864578247
1698151277.251,3,2,1001,26.203999996185303
1698151299.562,3,1,355,18.138000011444092
1698151329.972,3,2,1079,29.251999855041504
1698151358.138,3,2,987,25.49399995803833
1698151375.24,3,1,249,13.961999893188477
1698151493.509,3,2,1422,42.8270001411438
1698151546.762,3,5,2968,50.77999997138977
1698151634.73,3,8,5182,85.3529999256134
1698151697.092,3,6,3624,58.98099994659424
1698152033.471,3,13,8349,122.11999988555908
1698152229.632,4,1,651,30.039000034332275
1698152265.166,4,1,667,30.656999826431274
1698152364.141,4,7,5004,96.1690001487732
1698152449.992,4,4,2822,62.91600012779236
1698152559.694,4,8,5721,106.86299991607666
1698152592.54,4,1,284,15.319999933242798
1698152612.845,4,1,328,17.19700002670288
1698152664.331,4,3,2028,49.199000120162964
1698152761.9,4,8,5439,95.59899997711182
1698152858.917,4,6,4046,75.8600001335144
1698152921.824,3,2,890,22.381999969482422
1698153009.6,3,6,4216,82.6969997882843
1698153174.423,4,5,3458,70.40400004386902
1698153294.233,3,4,2658,56.34000015258789
1698153359.706,3,5,3198,59.98900008201599
1698153457.051,3,8,5378,93.28200006484985
1698153711.917,2,4,2398,45.967000007629395
1698153767.738,2,6,3471,52.9449999332428
1698153912.066,4,7,4703,84.19600009918213
1698153975.391,4,2,1118,30.638000011444092
1698154045.271,4,4,2942,67.7059998512268
1698154087.245,4,3,1792,39.614999771118164
1698154138.357,4,3,2001,48.055999994277954
1698154180.092,4,3,1771,38.812000036239624
1698154191.237,4,1,81,7.210000038146973
1698154336.773,3,1,462,23.194000005722046
1698154394.362,3,3,2160,54.42899990081787
