unix_time,players,rounds,score,time_s
1698222418.006584,2,1,293,16.24800395965576
1698222459.777275,2,2,1273,36.895485162734985
1698222530.221131,3,1,208,12.311727046966553
1698222562.079813,3,1,449,21.911298990249634
1698222579.438423,3,1,97,7.8562541007995605
1698222607.638249,3,2,918,22.706809043884277
1698222628.698678,3,1,290,15.557646989822388
1698222683.462457,3,4,2490,49.56789016723633
1698222795.840615,2,4,2155,36.14986991882324
1698222821.920679,2,2,959,24.366583108901978
1698222853.721661,2,3,1560,30.39366602897644
1698222873.761025,2,1,357,18.29652500152588
1698222920.867026,2,5,2812,44.3975670337677
1698222986.466714,2,7,4146,61.84368014335632
1698223468.858349,2,9,4905,56.7911479473114
1698223584.72443,2,14,8187,97.44790410995483
1698223740.959654,2,8,4679,65.25496196746826
1698223834.400995,2,10,5688,69.51012206077576
1698224662.115325,2,19,11299,132.53768515586853
1698225469.200973,2,2,874,21.48256015777588
1698225521.626116,2,5,2793,43.7230498790741
1698225574.287562,2,1,215,12.58350419998169
1698225697.372145,4,1,747,33.83408188819885
1698225765.607325,4,2,1679,53.13080406188965
1698225817.05395,4,3,1985,47.30800104141235
1698225880.778691,4,5,3197,59.929513931274414
1698226169.549565,2,9,5268,70.68233895301819
1698226231.450818,2,8,4411,54.40399098396301
1698226438.598944,3,1,536,26.006797075271606
1698226477.555084,3,1,765,34.619038105010986
1698226511.799875,3,1,698,31.796581029891968
1698226576.966479,3,3,2358,62.28374099731445
1698226626.922547,3,2,1503,46.07149004936218
1698226670.242525,3,2,1352,40.003865003585815
1698226692.561977,3,1,390,19.563458919525146
1698226734.726053,3,2,1343,39.6361939907074
1698226770.682578,3,1,704,32.128010988235474
1698226787.821011,3,1,273,14.814296960830688
1698226805.099825,3,1,275,14.967927932739258
1698226836.160182,3,1,615,28.5725679397583
1698226884.786373,3,2,1506,46.15108299255371
1698226929.920521,3,2,1306,38.2155179977417
1698226974.683939,3,2,1379,41.11819505691528
1698226998.826479,3,1,416,20.623175859451294
1698227026.023712,3,1,482,23.193538904190063
1698227052.561439,3,1,418,20.70063805580139
1698227104.604681,3,2,1558,48.288936138153076
1698227135.385471,3,1,561,26.35386300086975
1698227152.645096,3,1,239,13.497550964355469
1698227465.976242,4,13,8517,129.2855339050293
1698227668.524092,4,3,2325,61.64890217781067
1698227695.040234,4,1,499,23.879557132720947
1698227743.418741,4,2,1517,46.61395001411438
1698227856.763027,4,6,4915,110.53048801422119
1698228246.674752,4,2,1357,40.91440200805664
1698228290.126941,4,3,1740,37.50193190574646
1698228362.041497,4,5,3393,67.8952898979187
1698228463.792342,4,10,6348,95.84643983840942
